Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
613225076,"Jun 18, 2016, 2:52:04 PM",Headland laps,Ride,"",9340,52.06,126,false,,activities/668648824.fit.gz,68.03890228271484,,9340.0,8952.0,52066.0,16.399999618530273,,1007.0,,8.199999809265137,251.1999969482422,48.0,-0.011523835361003876,,,118.0,78.1490478515625,190.0,147.6132049560547,,124.93218994140625,1247.0062255859375,,14.0,126.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619694091,"Jun 21, 2016, 2:26:05 PM",Morning Ride,Ride,,2864,16.98,,false,,activities/675442422.fit.gz,68.03890228271484,,2864.0,2717.0,16979.0,14.800000190734863,,206.0,,2.0,108.5999984741211,41.0,-0.009423404932022095,,,130.0,78.19584655761719,,,,109.68696594238281,332.2918395996094,,10.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619796852,"Jun 24, 2016, 10:03:40 PM",CX. Finding the dirt. Summer Fridays. ,Ride,"",11595,53.85,254,false,,activities/675549807.fit.gz,68.03890228271484,,11595.0,11079.0,53855.80078125,16.799999237060547,,1098.0,,26.399999618530273,297.0,35.599998474121094,0.038621652871370316,,,116.0,69.05825805664062,192.0,148.1886444091797,,102.17256927490234,1262.1517333984375,,19.0,254.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620728936,"Jun 25, 2016, 3:30:42 PM",Mill valley for breakfast with the rats,Ride,"",15077,54.67,95,false,,activities/676526247.fit.gz,68.03890228271484,,15077.0,10299.0,54674.1015625,14.899999618530273,,631.0,,-7.0,230.0,40.900001525878906,-0.1682697981595993,,,166.0,72.30696105957031,185.0,122.26128387451172,,82.23773956298828,944.3671875,,18.0,95.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624164449,"Jun 29, 2016, 1:55:15 AM",Golden gate park: dirt edition,Ride,"",3843,20.39,21,false,,activities/680123265.fit.gz,68.03890228271484,,3843.0,3553.0,20391.599609375,9.699999809265137,,181.0,,12.600000381469727,107.19999694824219,33.900001525878906,-0.015692736953496933,,,121.0,83.48561096191406,180.0,100.61416625976562,,86.02096557617188,340.7803649902344,,9.0,21.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627030866,"Jul 1, 2016, 10:14:02 PM",Dirt with a side of wind. Headland laps.,Ride,"",9962,50.72,233,false,,activities/684654671.fit.gz,68.03890228271484,,9962.0,9812.0,50722.30078125,16.5,,1092.0,,12.800000190734863,292.3999938964844,26.5,0.005914558190852404,,,110.0,72.70481872558594,188.0,149.51119995117188,,114.24031829833984,1249.8289794921875,,11.0,233.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632122499,"Jul 6, 2016, 3:32:14 PM",Finding shade on the bike path. ,Ride,"",3698,26.21,53,false,,activities/693550634.fit.gz,68.03890228271484,,3698.0,3676.0,26210.30078125,11.199999809265137,,75.0,,10.800000190734863,25.799999237060547,10.600000381469727,-0.012972000055015087,,,106.0,78.48490142822266,182.0,157.64700317382812,,109.4520034790039,448.61529541015625,,27.0,53.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633185021,"Jul 7, 2016, 1:57:58 PM",Rolling hills on empty roads! Up island and back. ,Ride,"",6178,45.08,,false,,activities/695406071.fit.gz,68.03890228271484,,6178.0,6178.0,45083.80078125,14.800000190734863,,222.0,,-15.399999618530273,36.79999923706055,10.899999618530273,0.0031053300481289625,,,111.0,80.3467025756836,,,,114.10299682617188,785.9951171875,,26.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638562844,"Jul 12, 2016, 2:21:27 PM",Slug...hawk lap,Ride,"",5303,31.45,66,false,,activities/704554616.fit.gz,68.03890228271484,,5303.0,5164.0,31458.0,14.600000381469727,,313.0,,-0.6000000238418579,252.0,17.299999237060547,-0.32106301188468933,,,134.0,81.36812591552734,190.0,149.54110717773438,,91.95618438720703,529.470947265625,,9.0,66.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642198891,"Jul 15, 2016, 10:44:54 PM",Headlands with Emily! ,Ride,"",10560,45.12,,false,,activities/708418290.fit.gz,68.03890228271484,,10560.0,9506.0,45124.1015625,16.0,,885.0,,-1.0,275.3999938964844,42.29999923706055,0.024820439517498016,,,121.0,71.06774139404297,,,,97.10980987548828,1029.2852783203125,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644719405,"Jul 17, 2016, 5:47:46 PM","Searching for sunshine. To Point Reyes with Tom, Claire and Emily",Ride,"",8261,34.84,26,false,,activities/711106768.fit.gz,68.03890228271484,,8261.0,6117.0,34839.30078125,14.199999809265137,,262.0,,14.399999618530273,115.0,18.200000762939453,-0.21297800540924072,,,128.0,76.29969787597656,160.0,84.75060272216797,,78.00019836425781,531.996826171875,,13.0,26.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644719471,"Jul 17, 2016, 8:11:47 PM",Point Reyes part 2. Over dosed on blackberries,Ride,"Peaches, beers and kale chips at the half way mark ",5557,26.57,64,false,,activities/711106837.fit.gz,68.03890228271484,,5557.0,4192.0,26578.400390625,15.399999618530273,,275.0,,2.799999952316284,181.0,33.29999923706055,-0.03988200053572655,,,118.0,83.10299682617188,188.0,154.45599365234375,,104.8949966430664,490.2876281738281,,20.0,64.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648083960,"Jul 21, 2016, 2:09:09 AM",Twin peaks laps,Ride,"",3805,19.27,112,false,,activities/714698238.fit.gz,68.03890228271484,,3805.0,3682.0,19278.0,16.100000381469727,,518.0,,79.4000015258789,267.3999938964844,20.299999237060547,0.007262164261192083,,,114.0,74.78309631347656,191.0,155.6033172607422,,133.3512725830078,547.4631958007812,,18.0,112.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650076075,"Jul 22, 2016, 11:51:55 PM",Presidio exploring ,Ride,"",3882,18.31,35,false,,activities/716836196.fit.gz,68.03890228271484,,3882.0,3683.0,18310.19921875,11.800000190734863,,288.0,,25.600000381469727,127.0,49.0,0.03167633339762688,,,112.0,79.21935272216797,172.0,126.36479949951172,,91.37271118164062,375.2261047363281,,14.0,35.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650928224,"Jul 23, 2016, 2:55:33 PM",Headlands for breakfast,Ride,"",10720,49.80,244,false,,activities/717746347.fit.gz,68.03890228271484,,10720.0,10078.0,49799.69921875,15.199999809265137,,1055.0,,8.800000190734863,274.79998779296875,30.399999618530273,-0.08152659237384796,,,115.0,72.35487365722656,190.0,147.1551055908203,,105.08522033691406,1180.8370361328125,,14.0,244.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652309702,"Jul 24, 2016, 5:06:17 PM",Recovery loop,Ride,"",3446,18.97,21,false,,activities/719236644.fit.gz,68.03890228271484,,3446.0,3394.0,18975.099609375,14.100000381469727,,207.0,,2.0,109.5999984741211,14.300000190734863,-0.06745682656764984,,,107.0,77.3800048828125,166.0,122.70716094970703,,87.91581726074219,332.7006530761719,,22.0,21.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
