date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-05-13,Running,False,Lafayette - 16x400m,9.97,"1,063",01:15:48,154,179,3.8,171,185,0 days 00:07:36,0 days 00:06:01,99,92,1.24,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:15:48,0:00,0.0,0:00,No,01:01.44,36,0.0,4,garmin,0
2019-05-14,Running,False,Lafayette Running,5.01,593,00:42:16,146,166,3.0,169,177,0 days 00:08:26,0 days 00:06:56,89,96,1.13,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,42:16,0:00,0.0,0:00,No,00:05.19,6,0.0,4,garmin,0
2019-05-16,Running,False,Louisville Running,18.01,"2,059",02:18:10,156,181,4.9,172,187,0 days 00:07:40,0 days 00:05:25,536,542,1.22,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:18:10,0:00,0.0,0:00,No,00:06.74,19,0.0,4,garmin,0
2019-05-17,Pool Swimming,False,Lap Swimming,"1,500",321,00:34:40,0,0,0.0,0,0,0 days 00:02:19,0 days 00:01:50,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,801,48,23,34:40,0:00,0.0,0:00,No,06:18.29,4,0.0,4,garmin,0
2019-05-18,Running,False,Lafayette Running,0.24,469,00:42:51,131,145,1.9,162,180,0 days 00:00:00,0 days 00:07:08,0,0,0.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,42:51,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-05-19,Running,False,Lafayette Running,4.63,470,00:39:42,137,166,2.1,168,205,0 days 00:08:35,0 days 00:06:23,69,63,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,39:42,0:00,0.0,0:00,No,05:35.11,5,0.0,4,garmin,0
2019-05-20,Running,False,Lafayette - 12 x 1K,11.96,"1,284",01:33:51,153,176,3.6,172,194,0 days 00:07:51,0 days 00:05:38,78,89,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:33:51,0:00,0.0,0:00,No,01:00.00,28,0.0,4,garmin,0
2019-05-22,Running,False,Lafayette Running,1.28,934,01:03:57,151,180,3.0,165,198,0 days 00:49:57,0 days 00:07:00,2,0,0.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:03:57,0:00,0.0,0:00,No,27:12.30,2,0.0,4,garmin,0
2019-05-23,Running,False,Lafayette Running,5.23,599,00:46:00,143,161,2.7,170,174,0 days 00:08:48,0 days 00:07:28,76,58,1.08,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,46:00,0:00,0.0,0:00,No,02:03.04,6,0.0,4,garmin,0
2019-05-24,Running,False,Lafayette Running,15.01,"1,777",01:51:22,165,184,5.0,171,188,0 days 00:07:25,0 days 00:05:44,433,430,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:51:22,0:00,0.0,0:00,No,00:04.60,16,0.0,4,garmin,0
