,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
22,56,2018-08-24,Running,False,Sparta Running,6.78,744,00:55:02,140,165.0,3.2,158,183,8:07,6:22,190,197,1.23,8.5,10.6,261,47.9% L / 52.1% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,55:02,0:00,66.2,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,0 days 00:08:07,0 days 00:08:07,28.023598820058996,0.8,10.84188911704312,7.392197125256673,10.842041821557533,13.552552276946916
23,60,2018-08-28,Running,False,Sparta Running,2.72,336,00:20:03,152,164.0,3.1,161,172,7:22,6:23,72,72,1.34,7.8,10.7,240,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:03,0:00,80.6,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:07:22,0 days 00:07:22,26.470588235294116,0.8685714285714285,11.945701357466064,8.144796380090499,11.94585147736674,13.753447424599864
24,62,2018-08-29,Running,False,Sparta Running,6.32,702,00:56:10,133,152.0,2.4,151,256,8:53,3:46,187,184,1.22,8.8,10.8,264,48.5% L / 51.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,56:10,0:00,71.6,0:00,No,00:00.00,15.0,0.0,0,2,garmin,0,0 days 00:08:53,0 days 00:08:53,29.588607594936708,0.76,9.906191369606004,6.75422138836773,9.90634691405604,13.034666992179
25,65,2018-08-31,Running,False,Sparta Running,7.46,901,00:58:32,146,172.0,3.8,156,171,7:51,4:58,177,148,1.27,8.7,11.1,254,48.1% L / 51.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:32,0:00,80.6,0:00,No,00:00.00,9.0,0.0,0,2,garmin,0,0 days 00:07:51,0 days 00:07:51,23.726541554959784,0.8342857142857143,11.210191082802547,7.643312101910828,11.210304265974287,13.437008537982878
26,67,2018-09-01,Running,False,Sparta Running,3.75,513,00:30:08,155,171.0,3.3,156,165,8:02,6:36,82,75,1.27,8.6,11.2,257,47.6% L / 52.4% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:08,0:00,80.6,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:08:02,0 days 00:08:02,21.866666666666667,0.8857142857142857,10.95435684647303,7.468879668049793,10.954450786861265,12.36792830774659
27,69,2018-09-02,Running,False,Sparta Running,11.3,"1,378",01:38:07,143,163.0,3.3,153,197,8:41,4:21,226,233,1.2,8.6,10.4,268,48.3% L / 51.7% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:38:07,0:00,80.6,0:00,No,00:00.00,13.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41,20.0,0.8171428571428572,10.134357005758156,6.90978886756238,10.134429709504813,12.402274120023373
28,70,2018-09-03,Running,False,Sparta Running,2.67,320,00:20:11,147,160.0,2.7,160,166,7:33,6:42,33,33,1.31,8.1,10.8,242,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:11,0:00,78.8,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:07:33,0 days 00:07:33,12.359550561797754,0.84,11.655629139072849,7.9470198675496695,11.65566107228762,13.875786990818595
29,73,2018-09-05,Running,False,Sparta Running,6.53,750,01:04:31,132,161.0,2.2,140,256,9:53,3:21,144,148,1.16,8.8,10.4,293,48.5% L / 51.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:04:31,0:00,77.0,0:00,No,00:00.00,19.0,0.0,0,2,garmin,0,0 days 00:09:53,0 days 00:09:53,22.052067381317,0.7542857142857143,8.903878583473862,6.070826306913997,8.903956240028098,11.80448743943119
30,74,2018-09-06,Running,False,Sparta Running,8.5,947,01:10:10,140,164.0,3.0,157,177,8:15,5:59,174,180,1.23,8.8,10.9,252,48.4% L / 51.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:10:10,0:00,71.6,0:00,No,00:00.00,21.0,0.0,0,2,garmin,0,0 days 00:08:15,0 days 00:08:15,20.470588235294116,0.8,10.666666666666666,7.2727272727272725,10.666746832607902,13.333433540759877
31,77,2018-09-08,Running,False,Sparta Running,3.81,471,00:30:23,143,163.0,2.9,157,168,7:59,6:23,62,72,1.27,8.6,11.0,257,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:23,0:00,66.2,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,0 days 00:07:59,0 days 00:07:59,16.27296587926509,0.8171428571428572,11.022964509394571,7.515657620041754,11.023016861356847,13.489705949212924
