,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
33,65,2020-10-01 12:15:07,Running,2020-10-01 12:15:07,False,Denver Running,3.1,458,00:29:32,179,190,5.0,147,159,0 days 00:09:32,0 days 00:08:38,23,23,1.15,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:32,0,0:00,77.0,0,0:00,No,0.0,0,0,0,01:13.86,4,0.0,24,24,24,0,0,0,8,garmin,0,7.419354838709677,0.9179487179487179,9.23076923076923,6.293706293706294,9.230778343994862,10.055875849603341
34,66,2020-09-29 17:20:23,Running,2020-09-29 17:20:23,False,Denver Running,2.0,275,00:21:19,152,164,3.1,142,156,0 days 00:10:40,0 days 00:09:24,36,23,1.07,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,21:19,0,0:00,86.0,0,0:00,No,0.0,0,0,0,10:36.22,2,0.0,22,22,22,0,0,0,8,garmin,0,18.0,0.7794871794871795,8.25,5.625,8.250047940201622,10.583943081179711
35,68,2020-08-31 16:44:37,Running,2020-08-31 16:44:37,False,Denver Running,9.01,"1,185",01:36:17,156,174,4.1,143,159,0 days 00:10:41,0 days 00:08:43,243,269,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:36:17,0,0:00,78.8,0,0:00,No,0.0,0,0,0,00:11.56,10,0.0,22,22,22,0,0,0,8,garmin,0,26.970033296337405,0.8,8.237129485179405,5.616224648985959,8.237236943038736,10.296546178798419
36,70,2020-08-28 18:26:56,Running,2020-08-28 18:26:56,False,Denver Running,2.96,368,00:30:40,148,164,3.0,138,157,0 days 00:10:21,0 days 00:09:01,23,39,1.13,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:40,0,0:00,75.2,0,0:00,No,0.0,0,0,0,09:57.22,3,0.0,19,19,19,0,0,0,8,garmin,0,7.77027027027027,0.7589743589743589,8.502415458937197,5.797101449275362,8.502424665902286,11.202518985479363
37,71,2020-08-25 16:37:54,Running,2020-08-25 16:37:54,False,Denver - RFF6,3.03,407,00:29:11,169,186,3.8,145,155,0 days 00:09:38,0 days 00:08:43,16,23,1.15,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:11,0,0:00,84.2,0,0:00,No,0.0,0,0,0,04:59.61,4,0.0,19,19,19,0,0,0,8,garmin,0,5.2805280528052805,0.8666666666666667,9.134948096885813,6.228373702422146,9.134952665272351,10.540329998391174
38,72,2020-08-23 10:05:46,Running,2020-08-23 10:05:46,False,Denver Running,7.05,986,01:14:30,162,186,4.6,143,154,0 days 00:10:34,0 days 00:08:23,220,230,1.07,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:14:30,0,0:00,87.8,0,0:00,No,0.0,0,0,0,00:38.62,8,0.0,18,18,18,0,0,0,8,garmin,0,31.20567375886525,0.8307692307692308,8.32807570977918,5.678233438485805,8.328221158584746,10.02471065385201
39,73,2020-08-21 17:02:49,Running,2020-08-21 17:02:49,False,Denver Running,3.05,389,00:28:42,163,178,3.4,145,154,0 days 00:09:25,0 days 00:08:19,10,30,1.18,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:42,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:27.81,4,0.0,18,18,18,0,0,0,8,garmin,0,3.278688524590164,0.8358974358974359,9.345132743362832,6.371681415929204,9.34513454508538,11.179762185838337
40,74,2020-08-16 12:53:21,Running,2020-08-16 12:53:21,False,Denver - RL1,5.71,798,01:02:05,161,185,4.1,142,155,0 days 00:10:52,0 days 00:09:08,197,190,1.04,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:02:05,0,0:00,84.2,0,0:00,No,0.0,0,0,0,02:21.40,7,0.0,18,18,18,0,0,0,8,garmin,0,34.50087565674256,0.8256410256410256,8.098159509202453,5.521472392638037,8.098332388936697,9.808539228836374
41,75,2020-08-14 16:35:24,Running,2020-08-14 16:35:24,False,Denver - RSP1,4.46,574,00:45:35,161,187,3.8,137,161,0 days 00:10:13,0 days 00:06:50,56,59,1.14,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:35,0,0:00,84.2,0,0:00,No,0.0,0,0,0,00:34.97,13,0.0,17,17,17,0,0,0,8,garmin,0,12.556053811659194,0.8256410256410256,8.61337683523654,5.872756933115824,8.613401189854978,10.432380323116277
42,76,2020-08-12 17:27:31,Running,2020-08-12 17:27:31,False,Denver - RF3 or Cross-Train,3.01,422,00:31:41,167,181,3.5,142,154,0 days 00:10:33,0 days 00:09:13,20,33,1.08,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:41,0,0:00,82.4,0,0:00,No,0.0,0,0,0,01:41.37,5,0.0,20,20,20,0,0,0,8,garmin,0,6.64451827242525,0.8564102564102564,8.34123222748815,5.6872037914691935,8.341238832280983,9.739769893980789
