,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
25,31,2020-09-28 14:57:18,Running,2020-09-28 14:57:18,False,Longview - W06D2-Intervals,6.86,887,01:00:12,162,180,153,165,0 days 00:08:46,0 days 00:06:43,62,62,1.2,0.0,0.0,0.0,0.0,0.0,1:00:12,0:00,0.0,0:00,No,00:06.01,14,0.0,5,garmin,0,9.037900874635568,0.9257142857142857,10.03802281368821,6.844106463878326,10.038037519370098,10.843559048702266
26,32,2020-09-26 17:52:29,Running,2020-09-26 17:52:29,False,Longview - W05D7-Long Run,9.36,"1,236",01:35:50,148,163,145,161,0 days 00:10:14,0 days 00:07:29,833,958,1.09,0.0,0.0,0.0,0.0,0.0,1:35:50,0:00,0.0,0:00,No,00:05.01,11,0.0,5,garmin,0,88.9957264957265,0.8457142857142858,8.599348534201955,5.863192182410424,8.600569982738685,10.169592884995067
27,33,2020-09-25 18:37:34,Running,2020-09-25 18:37:34,False,Longview - W05D6-Intervals,5.67,744,00:51:12,160,173,148,157,0 days 00:09:02,0 days 00:06:41,466,564,1.19,0.0,0.0,0.0,0.0,0.0,51:12,0:00,0.0,0:00,No,00:06.02,16,0.0,5,garmin,0,82.18694885361552,0.9142857142857143,9.74169741697417,6.642066420664206,9.742877509899579,10.656272276452665
28,36,2020-09-19 12:40:26,Running,2020-09-19 12:40:26,False,Longview - W04D7-Long Run,13.11,"1,844",02:20:53,152,175,138,160,0 days 00:10:45,0 days 00:08:13,728,833,1.08,0.0,0.0,0.0,0.0,0.0,2:20:53,0:00,0.0,0:00,No,00:04.15,15,0.0,5,garmin,0,55.530129672006105,0.8685714285714285,8.186046511627907,5.5813953488372094,8.186499223343603,9.425245816349543
29,37,2020-09-18 19:08:10,Running,2020-09-18 19:08:10,False,Longview - W04D6-Intervals,5.82,786,00:51:18,166,180,148,157,0 days 00:08:49,0 days 00:07:11,338,367,1.23,0.0,0.0,0.0,0.0,0.0,51:18,0:00,0.0,0:00,No,00:03.67,13,0.0,5,garmin,0,58.07560137457045,0.9485714285714286,9.98109640831758,6.805293005671078,9.98170015492893,10.522876669352787
30,38,2020-09-16 19:20:14,Running,2020-09-16 19:20:14,False,Longview - W04D4-Fartlek Run,5.49,759,00:50:18,162,182,149,166,0 days 00:09:10,0 days 00:06:54,292,466,1.18,0.0,0.0,0.0,0.0,0.0,50:18,0:00,0.0,0:00,No,00:02.38,8,0.0,5,garmin,0,53.18761384335155,0.9257142857142857,9.6,6.545454545454546,9.600487061037317,10.370896516552657
31,39,2020-09-15 13:25:29,Running,2020-09-15 13:25:29,False,Longview - W04D3a-Recovery Run,4.25,619,00:40:47,159,174,142,159,0 days 00:09:36,0 days 00:07:30,85,190,1.18,0.0,0.0,0.0,0.0,0.0,40:47,0:00,0.0,0:00,No,01:13.33,6,0.0,5,garmin,0,20.0,0.9085714285714286,9.166666666666666,6.25,9.166732428215292,10.089170911557712
32,41,2020-09-12 12:00:11,Running,2020-09-12 12:00:11,False,Longview - W03D7-Long Run,10.04,"1,530",01:48:45,158,174,138,157,0 days 00:10:50,0 days 00:08:11,617,643,1.08,0.0,0.0,0.0,0.0,0.0,1:48:45,0:00,0.0,0:00,No,03:37.08,11,0.0,5,garmin,0,61.454183266932276,0.9028571428571428,8.123076923076923,5.538461538461538,8.12362711083151,8.997688255667812
33,43,2020-09-09 18:19:26,Running,2020-09-09 18:19:26,False,Longview - W03D4-Recovery Run,5.12,758,00:55:19,149,168,139,156,0 days 00:10:48,0 days 00:08:32,331,489,1.07,0.0,0.0,0.0,0.0,0.0,55:19,0:00,0.0,0:00,No,02:23.78,6,0.0,5,garmin,0,64.6484375,0.8514285714285714,8.148148148148147,5.555555555555555,8.148758894477522,9.570689976735345
34,44,2020-09-08 11:14:34,Running,2020-09-08 11:14:34,False,Longview - W03D2-Intervals,5.56,819,00:52:40,166,187,149,164,0 days 00:09:28,0 days 00:07:13,52,164,1.14,0.0,0.0,0.0,0.0,0.0,52:40,0:00,0.0,0:00,No,00:04.27,14,0.0,5,garmin,0,9.352517985611511,0.9485714285714286,9.295774647887322,6.338028169014084,9.295789230807866,9.79977780356251
35,45,2020-09-05 06:07:36,Running,2020-09-05 06:07:36,False,Longview - W02D7-Long Run,10.06,"1,475",01:42:49,157,175,143,182,0 days 00:10:13,0 days 00:08:02,879,"1,040",1.1,0.0,0.0,0.0,0.0,0.0,1:42:49,0:00,0.0,0:00,No,02:45.14,11,0.0,5,garmin,0,87.37574552683895,0.8971428571428571,8.61337683523654,5.872756933115824,8.614556144380915,9.602212262844969
36,46,2020-09-04 15:50:43,Running,2020-09-04 15:50:43,False,Longview - W02D6-Intervals,5.54,849,00:51:58,170,188,147,163,0 days 00:09:23,0 days 00:07:17,249,381,1.16,0.0,0.0,0.0,0.0,0.0,51:58,0:00,0.0,0:00,No,00:50.29,12,0.0,5,garmin,0,44.94584837545126,0.9714285714285714,9.378330373001775,6.394316163410302,9.378670153919037,9.654513393740185
37,47,2020-09-02 17:40:22,Running,2020-09-02 17:40:22,False,Longview - W02D4b-Recovery Run,3.4,499,00:35:14,151,168,147,156,0 days 00:10:21,0 days 00:08:47,200,184,1.06,0.0,0.0,0.0,0.0,0.0,35:14,0:00,0.0,0:00,No,00:00.85,5,0.0,5,garmin,0,58.82352941176471,0.8628571428571429,8.502415458937197,5.797101449275362,8.502943093411577,9.854404247331297
38,48,2020-09-01 19:26:02,Running,2020-09-01 19:26:02,False,Longview - W02D3-Intervals,5.0,644,00:43:54,161,180,150,162,0 days 00:08:46,0 days 00:06:51,207,344,1.21,0.0,0.0,0.0,0.0,0.0,43:54,0:00,0.0,0:00,No,01:25.14,11,0.0,5,garmin,0,41.4,0.92,10.03802281368821,6.844106463878326,10.038331377041077,10.911229757653343
39,49,2020-09-01 07:11:20,Running,2020-09-01 07:11:20,False,Longview Running,4.6,674,00:49:09,147,174,139,160,0 days 00:10:41,0 days 00:07:51,131,279,1.09,0.0,0.0,0.0,0.0,0.0,49:09,0:00,0.0,0:00,No,06:13.50,5,0.0,5,garmin,0,28.47826086956522,0.84,8.237129485179405,5.616224648985959,8.237249297594303,9.806249163802743
40,50,2020-08-29 06:05:42,Running,2020-08-29 06:05:42,False,Longview - W01D7-Long Run,8.02,"1,157",01:20:06,156,173,145,160,0 days 00:09:59,0 days 00:07:12,522,666,1.11,0.0,0.0,0.0,0.0,0.0,1:20:06,0:00,0.0,0:00,No,00:01.01,10,0.0,5,garmin,0,65.08728179551123,0.8914285714285715,8.814691151919867,6.010016694490819,8.815360859217138,9.88902660489102
