,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
23,37,2020-12-17 12:12:00,Running,12/17/2020 12:12,False,Untitled,6.53,577,1:04:53,116,139,2.4,154,176,0 days 00:09:56,0 days 00:08:17,502,531,1.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:04:53,0:00,44.6,0:00,No,05:23.2,7,0,28,12,43,1,garmin,0,76.87595712098009,0.6304347826086957,8.859060402684563,6.040268456375839,8.85999936438749,14.053792095235327
24,38,2020-12-16 11:36:00,Running,12/16/2020 11:36,False,Untitled,7.39,745,1:15:30,122,145,2.8,159,171,0 days 00:10:13,0 days 00:08:49,407,397,0.99,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:15:30,0:00,60.8,0:00,No,04:11.7,8,0,31,14,41,1,garmin,0,55.0744248985115,0.6630434782608695,8.61337683523654,5.872756933115824,8.613845393645716,12.991373380580425
25,39,2020-12-14 15:24:00,Running,12/14/2020 15:24,False,Untitled,5.23,572,0:52:27,124,141,2.5,160,173,0 days 00:10:02,0 days 00:08:32,236,171,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52:27:00,0:00,46.4,0:00,No,02:15.6,6,0,32,18,42,1,garmin,0,45.124282982791584,0.6739130434782609,8.770764119601328,5.980066445182724,8.771084416172059,13.015157520771442
26,42,2020-12-10 13:49:00,Running,12/10/2020 13:49,False,Untitled,6.47,670,0:54:35,133,152,2.9,174,181,0 days 00:08:27,0 days 00:07:22,361,344,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54:35:00,0:00,59.0,0:00,No,03:48.3,7,0,35,13,47,1,garmin,0,55.79598145285935,0.7228260869565217,10.414201183431953,7.100591715976332,10.414782646105717,14.408421104386857
27,43,2020-12-09 11:43:00,Running,12/9/2020 11:43,False,Untitled,6.35,617,0:55:57,139,180,3.4,166,180,0 days 00:08:49,0 days 00:07:41,404,407,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:57:00,0:00,57.2,0:00,No,03:00.3,7,0,33,13,43,1,garmin,0,63.62204724409449,0.7554347826086957,9.98109640831758,6.805293005671078,9.981820977612637,13.213345754537592
28,44,2020-12-07 13:31:00,Running,12/7/2020 13:31,False,Untitled,6.1,635,0:54:58,129,147,2.7,164,176,0 days 00:09:01,0 days 00:07:39,318,305,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54:58:00,0:00,57.2,0:00,No,00:48.2,7,0,34,14,45,1,garmin,0,52.13114754098361,0.7010869565217391,9.759704251386319,6.6543438077634,9.760179940051419,13.921496968755513
29,45,2020-12-06 13:59:00,Running,12/6/2020 13:59,False,Untitled,7.12,725,1:00:35,134,155,3.0,170,179,0 days 00:08:30,0 days 00:07:36,315,322,1.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:00:35,0:00,62.6,0:00,No,00:58.0,8,0,34,15,41,1,garmin,0,44.241573033707866,0.7282608695652174,10.352941176470587,7.0588235294117645,10.353304605323517,14.216477965518859
30,46,2020-12-05 15:07:00,Running,12/5/2020 15:07,False,Untitled,6.45,638,0:55:39,131,145,2.7,169,177,0 days 00:08:38,0 days 00:07:28,420,325,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:39:00,0:00,50.0,0:00,No,03:57.5,7,0,35,18,45,1,garmin,0,65.11627906976744,0.7119565217391305,10.193050193050192,6.94980694980695,10.19382531308278,14.318044714559017
31,47,2020-12-04 15:31:00,Running,12/4/2020 15:31,False,Untitled,6.17,554,0:57:35,125,173,2.6,161,174,0 days 00:09:20,0 days 00:07:35,295,220,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57:35:00,0:00,51.8,0:00,No,01:35.1,7,0,32,14,45,1,garmin,0,47.81199351701783,0.6793478260869565,9.428571428571427,6.428571428571428,9.428957984960789,13.879426153862282
32,50,2020-12-02 13:37:00,Running,12/2/2020 13:37,False,Untitled,6.01,607,0:59:31,126,139,2.6,156,174,0 days 00:09:55,0 days 00:07:55,276,266,1.04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59:31:00,0:00,71.6,0:00,No,00:03.2,7,0,32,15,44,1,garmin,0,45.9234608985025,0.6847826086956522,8.873949579831933,6.050420168067228,8.874285224786306,12.9592736615927
