date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2020-11-29 12:53:04,Running,2020-11-29 12:53:04,False,Oslo Running,15.66,"1,292",01:12:44,172,200,5.0,177,243,0 days 00:04:39,0 days 00:03:25,213,216,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:12:44,0:00,3.0,0:00,No,01:12:44.07,1,0.0,19,19,19,7,garmin,0
2020-11-28 11:37:30,Running,2020-11-28 11:37:30,False,Oslo Running,12.84,"1,019",01:04:10,161,181,3.9,169,221,0 days 00:05:00,0 days 00:03:35,144,145,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:04:10,0:00,8.0,0:00,No,01:04:10.41,1,0.0,13,13,13,7,garmin,0
2020-11-27 11:28:46,Running,2020-11-27 11:28:46,False,Oslo Running,11.01,797,00:53:32,154,183,3.8,170,216,0 days 00:04:52,0 days 00:03:29,64,59,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,53:32,0:00,7.0,0:00,No,02:00.30,11,0.0,14,14,14,7,garmin,0
2020-11-25 11:19:01,Running,2020-11-25 11:19:01,False,Oslo Running,11.94,949,01:00:01,159,188,3.9,170,197,0 days 00:05:02,0 days 00:03:46,256,245,1.17,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:00:01,0:00,13.0,0:00,No,01:00:01.00,1,0.0,14,14,14,7,garmin,0
2020-11-24 12:39:07,Running,2020-11-24 12:39:07,False,Oslo Running,14.01,998,01:06:07,157,202,4.1,167,194,0 days 00:04:43,0 days 00:03:59,123,128,1.27,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:06:07,0:00,12.0,0:00,No,01:06:07.49,1,0.0,12,12,12,7,garmin,0
2020-11-23 11:00:55,Running,2020-11-23 11:00:55,False,Oslo Running,9.95,807,00:47:18,165,199,4.2,170,185,0 days 00:04:45,0 days 00:03:46,160,179,1.24,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:18,0:00,10.0,0:00,No,47:17.83,1,0.0,14,14,14,7,garmin,0
2020-11-21 11:08:53,Running,2020-11-21 11:08:53,False,Oslo Running,16.00,"1,323",01:19:35,167,195,4.9,174,224,0 days 00:04:58,0 days 00:03:52,264,263,1.16,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:19:35,0:00,11.0,0:00,No,01:19:34.57,1,0.0,17,17,17,7,garmin,0
2020-11-11 17:36:39,Running,2020-11-11 17:36:39,False,Oslo Running,8.77,782,00:47:11,164,193,3.9,167,240,0 days 00:05:23,0 days 00:04:01,121,122,1.11,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:11,0:00,12.0,0:00,No,01:11.18,2,0.0,13,13,13,7,garmin,0
2020-11-10 16:32:28,Running,2020-11-10 16:32:28,False,Oslo Running,9.81,837,00:50:49,161,195,4.0,165,195,0 days 00:05:11,0 days 00:03:49,152,171,1.17,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:49,0:00,8.0,0:00,No,50:48.83,1,0.0,16,16,16,7,garmin,0
2020-11-04 19:49:36,Running,2020-11-04 19:49:36,False,Sunndal Running,10.03,798,00:49:32,160,190,3.7,170,185,0 days 00:04:56,0 days 00:03:25,99,82,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,49:32,0:00,10.0,0:00,No,02:04.57,7,0.0,17,17,17,7,garmin,0
2020-11-03 20:38:34,Running,2020-11-03 20:38:34,False,Sunndal Running,10.20,772,00:47:41,159,191,3.7,171,207,0 days 00:04:41,0 days 00:04:02,80,78,1.25,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:41,0:00,13.0,0:00,No,47:40.100,1,0.0,13,13,13,7,garmin,0
2020-10-31 13:25:38,Running,2020-10-31 13:25:38,False,Oslo Running,9.42,831,00:49:10,164,191,4.0,167,193,0 days 00:05:13,0 days 00:03:43,153,151,1.15,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,49:10,0:00,10.0,0:00,No,00:10.31,2,0.0,13,13,13,7,garmin,0
2020-10-30 18:02:26,Running,2020-10-30 18:02:26,False,Oslo Running,6.03,474,00:45:05,130,167,2.2,152,232,0 days 00:07:29,0 days 00:03:08,129,117,0.88,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,45:05,0:00,12.0,0:00,No,45:05.21,1,0.0,19,19,19,7,garmin,0
2020-10-29 15:04:15,Running,2020-10-29 15:04:15,False,Oslo Running,18.08,"1,455",01:25:45,169,195,5.0,173,210,0 days 00:04:45,0 days 00:03:12,116,132,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:25:45,0:00,12.0,0:00,No,03:56.56,13,0.0,14,14,14,7,garmin,0
2020-10-26 16:40:19,Running,2020-10-26 16:40:19,False,Oslo Running,15.40,"1,274",01:14:37,170,210,5.0,169,232,0 days 00:04:51,0 days 00:03:18,237,239,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:14:37,0:00,9.0,0:00,No,01:42.15,13,0.0,15,15,15,7,garmin,0
2020-10-22 15:51:05,Running,2020-10-22 15:51:05,False,Oslo Running,9.69,764,00:47:30,158,185,3.6,169,224,0 days 00:04:54,0 days 00:03:33,174,183,1.2,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,47:30,0:00,11.0,0:00,No,03:37.57,9,0.0,19,19,19,7,garmin,0
2020-10-21 16:22:27,Running,2020-10-21 16:22:27,False,Oslo Running,18.50,"1,435",01:34:39,158,176,4.2,167,238,0 days 00:05:07,0 days 00:02:09,232,233,1.17,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:34:39,0:00,9.0,0:00,No,01:34:38.65,1,0.0,20,20,20,7,garmin,0
2020-10-19 18:46:36,Running,2020-10-19 18:46:36,False,Oslo Running,7.95,745,00:59:35,140,163,2.6,153,243,0 days 00:07:30,0 days 00:01:47,215,205,0.87,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,59:35,0:00,11.0,0:00,No,59:35.07,1,0.0,16,16,16,7,garmin,0
2020-10-17 11:01:37,Running,2020-10-17 11:01:37,False,Oslo Running,9.96,681,00:37:18,174,191,4.3,179,207,0 days 00:03:45,0 days 00:03:22,29,31,1.5,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,37:18,0:00,7.0,0:00,No,37:17.57,1,0.0,15,15,15,7,garmin,0
2020-10-16 16:15:00,Running,2020-10-16 16:15:00,False,Oslo Running,10.11,808,00:49:16,159,175,3.7,173,195,0 days 00:04:52,0 days 00:03:36,131,138,1.18,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,49:16,0:00,13.0,0:00,No,02:00.10,11,0.0,17,17,17,7,garmin,0
2020-10-14 18:02:20,Running,2020-10-14 18:02:20,False,Sunndal Running,10.14,706,00:48:36,150,170,3.2,174,232,0 days 00:04:48,0 days 00:02:38,57,60,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,48:36,0:00,9.0,0:00,No,00:34.06,15,0.0,20,20,20,7,garmin,0
2020-10-13 18:48:36,Running,2020-10-13 18:48:36,False,Sunndal Running,6.98,578,00:33:04,167,191,3.6,177,210,0 days 00:04:44,0 days 00:03:58,82,78,1.19,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,33:04,0:00,14.0,0:00,No,33:04.29,1,0.0,22,22,22,7,garmin,0
2020-10-12 16:32:46,Running,2020-10-12 16:32:46,False,Sunndal Running,11.97,896,00:56:10,162,182,3.8,171,232,0 days 00:04:42,0 days 00:03:20,95,105,1.23,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,56:10,0:00,10.0,0:00,No,01:37.53,15,0.0,17,17,17,7,garmin,0
2020-10-09 16:09:02,Running,2020-10-09 16:09:02,False,Oslo Running,11.34,849,00:55:13,156,184,3.7,169,216,0 days 00:04:52,0 days 00:03:18,181,198,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,55:13,0:00,14.0,0:00,No,02:34.67,7,0.0,13,13,13,7,garmin,0
2020-10-08 17:19:48,Running,2020-10-08 17:19:48,False,Oslo Running,18.02,"1,615",01:52:07,159,182,4.7,165,232,0 days 00:06:13,0 days 00:03:55,376,206,0.97,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:52:07,0:00,13.0,0:00,No,47:15.13,2,0.0,15,15,15,7,garmin,0
2020-10-07 16:15:06,Running,2020-10-07 16:15:06,False,Oslo Running,9.40,650,00:43:59,150,166,3.3,171,206,0 days 00:04:41,0 days 00:03:21,131,137,1.25,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,43:59,0:00,13.0,0:00,No,02:09.09,3,0.0,19,19,19,7,garmin,0
2020-10-05 17:17:40,Running,2020-10-05 17:17:40,False,Oslo Running,18.90,"1,592",01:45:04,162,189,4.8,168,196,0 days 00:05:34,0 days 00:04:06,259,93,1.07,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:45:04,0:00,11.0,0:00,No,45:28.87,2,0.0,19,19,19,7,garmin,0
2020-10-02 15:45:00,Running,2020-10-02 15:45:00,False,Oslo Running,11.74,948,01:06:57,150,171,3.5,166,216,0 days 00:05:42,0 days 00:03:52,384,393,1.06,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:06:57,0:00,15.0,0:00,No,01:06:57.33,1,0.0,15,15,15,7,garmin,0
2020-10-01 15:55:04,Running,2020-10-01 15:55:04,False,Oslo Running,8.25,658,00:45:10,149,167,3.2,165,200,0 days 00:05:28,0 days 00:04:05,136,143,1.11,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,45:10,0:00,14.0,0:00,No,45:10.24,1,0.0,16,16,16,7,garmin,0
2020-09-30 18:18:01,Running,2020-09-30 18:18:01,False,Oslo Running,8.65,881,01:00:37,156,173,3.5,155,199,0 days 00:07:01,0 days 00:04:54,152,159,0.92,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:00:37,0:00,15.0,0:00,No,01:00:37.11,1,0.0,25,25,25,7,garmin,0
2020-09-29 16:21:36,Running,2020-09-29 16:21:36,False,Oslo Running,10.97,784,00:50:15,157,180,3.7,173,229,0 days 00:04:35,0 days 00:03:31,130,129,1.26,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,50:15,0:00,15.0,0:00,No,03:36.66,7,0.0,17,17,17,7,garmin,0
2020-09-27 12:00:35,Running,2020-09-27 12:00:35,False,Oslo Running,15.55,"1,172",01:14:01,162,192,4.5,173,221,0 days 00:04:46,0 days 00:03:21,215,214,1.21,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:14:01,0:00,13.0,0:00,No,02:16.40,11,0.0,15,15,15,7,garmin,0
2020-09-23 18:12:51,Running,2020-09-23 18:12:51,False,Oslo Running,15.12,932,01:05:24,159,178,4.2,175,191,0 days 00:04:19,0 days 00:03:40,202,198,1.32,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:05:24,0:00,17.0,0:00,No,01:05:23.71,1,0.0,18,18,18,7,garmin,0
2020-09-22 16:54:07,Trail Running,2020-09-22 16:54:07,False,BÃ¦rum Trail Running,11.47,787,01:03:34,144,169,3.2,162,242,0 days 00:05:33,0 days 00:03:18,343,347,1.11,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,1:03:34,0:00,14.0,0:00,No,01:03:33.85,1,0.0,14,14,14,7,garmin,0
2020-09-19 10:08:29,Running,2020-09-19 10:08:29,False,BÃ¸ Running,8.15,784,00:46:25,171,189,4.5,174,197,0 days 00:05:42,0 days 00:04:21,312,132,1.01,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,46:25,0:00,15.0,0:00,No,46:24.95,1,0.0,19,19,19,7,garmin,0
