,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
24,91,2020-10-26 12:01:20,Running,2020-10-26 12:01:20,False,Longview Running,2.01,200,0:20:55,161,182,166,180,10:24,8:59,89,75,0.93,0,0,0,0,0,0,0,0,0,0,20:55,0:00,0,0:00,No,00:05.48,3,0,10,garmin,0,0 days 00:10:24,0 days 00:10:24,44.278606965174134,0.8090452261306532,8.461538461538462,5.769230769230769,8.46183599221868,10.459039518332405
25,92,2020-10-25 15:41:33,Running,2020-10-25 15:41:33,False,Longview Running,1.5,136,0:14:44,155,181,169,186,9:47,8:19,49,59,0.98,0,0,0,0,0,0,0,0,0,0,14:44,0:00,0,0:00,No,04:58.98,2,0,10,garmin,0,0 days 00:09:47,0 days 00:09:47,32.666666666666664,0.7788944723618091,8.99488926746167,6.132879045996593,8.995061416050373,11.548498205122735
26,93,2020-10-22 19:23:33,Running,2020-10-22 19:23:33,False,Longview Running,1.2,125,0:13:42,162,181,163,170,11:25,10:12,39,36,0.86,0,0,0,0,0,0,0,0,0,0,13:42,0:00,0,0:00,No,02:22.03,2,0,10,garmin,0,0 days 00:11:25,0 days 00:11:25,32.5,0.8140703517587939,7.708029197080292,5.255474452554745,7.708175215659624,9.46868436985349
27,94,2020-10-22 19:08:35,Running,2020-10-22 19:08:35,False,Longview - Stride Repeats,0.87,86,0:10:09,137,159,150,245,11:42,10:25,30,23,0.92,0,0,0,0,0,0,0,0,0,0,10:09,0:00,0,0:00,No,10:09.47,1,0,10,garmin,0,0 days 00:11:42,0 days 00:11:42,34.48275862068966,0.6884422110552764,7.521367521367521,5.128205128205129,7.521527919143829,10.925431065033738
28,97,2020-10-19 18:36:26,Running,2020-10-19 18:36:26,False,Longview - Easy Run,2.5,260,0:28:37,157,179,154,172,11:27,2:47,190,397,0.93,0,0,0,0,0,0,0,0,0,0,1:4:37:00.000,0:00,0,0:00,No,03:37.48,4,0,10,garmin,0,0 days 00:11:27,0 days 00:11:27,76.0,0.7889447236180904,7.685589519650655,5.240174672489084,7.686385649736329,9.742616205716748
29,99,2020-10-16 07:33:21,Running,2020-10-16 7:33:21,False,Longview Running,1.0,90,0:10:41,137,148,163,172,10:40,9:47,36,52,0.93,0,0,0,0,0,0,0,0,0,0,10:41,0:00,0,0:00,No,00:00.90,2,0,10,garmin,0,0 days 00:10:40,0 days 00:10:40,36.0,0.6884422110552764,8.25,5.625,8.250191759135056,11.983855182977198
30,101,2020-10-12 12:05:25,Running,2020-10-12 12:05:25,False,Longview - Easy Run,2.69,285,0:30:08,163,180,164,175,11:12,10:03,30,46,0.87,0,0,0,0,0,0,0,0,0,0,1:6:08,0:00,0,0:00,No,00:01.63,6,0,10,garmin,0,0 days 00:11:12,0 days 00:11:12,11.152416356877323,0.8190954773869347,7.857142857142858,5.357142857142858,7.85716038400916,9.592484149802594
31,103,2020-10-08 18:03:59,Running,2020-10-08 18:03:59,False,Longview - Stride Repeats,2.62,241,0:28:48,150,177,164,184,10:59,9:06,43,272,0.89,0,0,0,0,0,0,0,0,0,0,1:4:48,0:00,0,0:00,No,00:01.52,20,0,10,garmin,0,0 days 00:10:59,0 days 00:10:59,16.412213740458014,0.7537688442211056,8.012139605462822,5.462822458270106,8.01217831196677,10.629489893875913
32,104,2020-10-07 18:50:22,Running,2020-10-07 18:50:22,False,Longview Running,2.0,200,0:22:35,152,170,162,172,11:16,10:03,36,217,0.88,0,0,0,0,0,0,0,0,0,0,22:35,0:00,0,0:00,No,00:02.68,3,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,18.0,0.7638190954773869,7.8106508875739635,5.325443786982248,7.810696274747096,10.225845780754423
33,106,2020-10-06 17:37:52,Running,2020-10-06 17:37:52,False,Longview - Benchmark Run,0.77,73,0:09:02,129,160,142,170,11:46,8:36,43,23,1.02,0,0,0,0,0,0,0,0,0,0,9:02.0,0:00,0,0:00,No,00:01.96,4,0,10,garmin,0,0 days 00:11:46,0 days 00:11:46,55.84415584415584,0.6482412060301508,7.478753541076486,5.099150141643059,7.479171828393726,11.53763716163063
34,107,2020-10-05 19:07:16,Running,2020-10-05 19:07:16,False,Longview - Easy Run,3.01,305,0:32:00,161,185,166,182,10:37,9:15,95,115,0.91,0,0,0,0,0,0,0,0,0,0,1:8,0:00,0,0:00,No,05:00.00,4,0,10,garmin,0,0 days 00:10:37,0 days 00:10:37,31.561461794019937,0.8090452261306532,8.288854003139717,5.65149136577708,8.289002086748454,10.245412517161133
35,108,2020-10-03 07:16:57,Running,2020-10-03 7:16:57,False,Longview - Progression Run,3.54,360,0:40:01,154,181,158,248,11:19,9:41,135,167,0.91,0,0,0,0,0,0,0,0,0,0,1:16:01,0:00,0,0:00,No,00:00.99,6,0,10,garmin,0,0 days 00:11:19,0 days 00:11:19,38.13559322033898,0.7738693467336684,7.776141384388806,5.3019145802650955,7.776344209469131,10.048652582365955
36,110,2020-10-01 17:38:07,Running,2020-10-01 17:38:07,False,Longview Running,1.01,93,0:09:47,159,180,172,187,9:42,8:41,128,16,0.96,0,0,0,0,0,0,0,0,0,0,9:47.4,0:00,0,0:00,No,00:06.66,2,0,10,garmin,0,0 days 00:09:42,0 days 00:09:42,126.73267326732673,0.7989949748743719,9.072164948453608,6.185567010309279,9.074777878310881,11.35774086656519
37,111,2020-10-01 12:02:41,Running,2020-10-01 12:02:41,False,Longview - Easy Run,2.27,215,0:25:37,140,182,153,245,11:18,10:07,89,72,0.95,0,0,0,0,0,0,0,0,0,0,1:1:37:00.000,0:00,0,0:00,No,00:03.91,6,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18,39.20704845814978,0.7035175879396985,7.787610619469025,5.309734513274336,7.787825317815807,11.069837416038183
