date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-10-28 06:35:55,Running,2020-10-28 06:35:55,False,Morton Running,3.13,421,00:25:03,162,174,3.6,172,185,0 days 00:08:00,0 days 00:07:16,23,18,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,25:03,0:00,0.0,0:00,No,01:01.54,4,0.0,4,garmin,0
2020-10-23 06:36:24,Running,2020-10-23 06:36:24,False,Morton Running,2.54,339,00:20:59,0,0,0.0,172,182,0 days 00:08:15,0 days 00:07:33,32,24,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,20:59,0:00,0.0,0:00,No,04:24.80,3,0.0,4,garmin,0
2020-10-22 06:20:29,Running,2020-10-22 06:20:29,False,Morton Running,3.95,534,00:31:30,0,0,0.0,171,179,0 days 00:07:59,0 days 00:07:21,22,20,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,31:30,0:00,0.0,0:00,No,07:21.33,4,0.0,4,garmin,0
2020-10-20 06:23:34,Running,2020-10-20 06:23:34,False,Morton Running,3.09,412,00:25:58,0,0,0.0,170,182,0 days 00:08:24,0 days 00:07:30,23,13,1.11,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,25:58,0:00,0.0,0:00,No,00:43.42,4,0.0,4,garmin,0
2020-10-11 15:46:49,Cycling,2020-10-11 15:46:49,False,Tazewell County Cycling,6.01,497,00:52:56,0,0,0.0,0,0,6.8,16.8,344,331,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,52:56,0:00,0.0,0:00,No,08:07.21,2,0.0,4,garmin,0
2020-10-11 13:08:39,Cycling,2020-10-11 13:08:39,False,Morton Cycling,3.15,178,00:29:14,0,0,0.0,0,0,6.5,14.8,17,24,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,29:14,0:00,0.0,0:00,No,29:14.05,1,0.0,4,garmin,0
2020-10-09 08:50:56,Cycling,2020-10-09 08:50:56,False,Chicago Cycling,6.68,117,00:53:38,0,0,0.0,0,0,7.5,21.7,386,381,0.0,0.0,0.0,54,114,108,50% L / 50% R,26.0,46,36,811,0.0,0.0,1593,0,0,53:38,0:00,0.0,0:00,No,14:52.55,2,0.0,4,garmin,0
2020-10-09 08:07:21,Cycling,2020-10-09 08:07:21,False,Chicago Cycling,3.57,133,00:37:31,0,0,0.0,0,0,5.7,16.2,12,20,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:31,0:00,0.0,0:00,No,37:31.29,1,0.0,4,garmin,0
2020-10-09 06:04:52,Cycling,2020-10-09 06:04:52,False,Chicago Cycling,22.49,"1,309",01:41:33,0,0,0.0,0,0,13.3,22.4,44,44,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:41:33,0:00,0.0,0:00,No,12:46.51,5,0.0,4,garmin,0
2020-10-08 16:38:52,Cycling,2020-10-08 16:38:52,False,Chicago Cycling,3.52,222,00:28:14,0,0,0.0,0,0,7.5,16.2,0,5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,28:14,0:00,0.0,0:00,No,28:14.49,1,0.0,4,garmin,0
2020-10-08 07:09:12,Running,2020-10-08 07:09:12,False,Chicago Running,3.36,431,00:27:20,0,0,0.0,170,181,0 days 00:08:07,0 days 00:07:05,7,12,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,27:20,0:00,0.0,0:00,No,03:13.62,4,0.0,4,garmin,0
2020-10-06 06:24:45,Running,2020-10-06 06:24:45,False,Morton Running,3.74,494,00:30:17,0,0,0.0,170,195,0 days 00:08:05,0 days 00:04:27,21,26,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,30:17,0:00,0.0,0:00,No,06:06.20,4,0.0,4,garmin,0
