date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2020-12-18 17:09:59,Treadmill Running,2020-12-18 17:09:59,False,Treadmill Running,2,199,0:21:17,156,178,160,186,10:37,6:28,0,0,0.95,0,0,0,0,0,0,0,0,0,0,21:17,0:00,0,0:00,No,00:02.34,3,0,10,garmin,0,0 days 00:10:37,0 days 00:10:37
2020-12-17 18:18:14,Running,2020-12-17 18:18:14,False,Longview Running,2.2,222,0:25:01,151,166,167,175,11:23,10:05,75,82,0.85,0,0,0,0,0,0,0,0,0,0,1:1:01,0:00,0,0:00,No,02:15.74,3,0,10,garmin,0,0 days 00:11:23,0 days 00:11:23
2020-12-16 18:19:13,Treadmill Running,2020-12-16 18:19:13,False,Treadmill Running,1.1,105,0:12:13,144,164,149,172,11:06,7:37,0,0,0.97,0,0,0,0,0,0,0,0,0,0,12:13,0:00,0,0:00,No,01:01.14,2,0,10,garmin,0,0 days 00:11:06,0 days 00:11:06
2020-12-15 18:29:34,Strength Training,2020-12-15 18:29:34,False,Strength,0,108,0:20:01,115,133,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,1,20:01,0:00,0,0:00,No,20:00.72,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-15 17:47:33,Treadmill Running,2020-12-15 17:47:33,False,Treadmill Running,3.14,332,0:34:59,159,182,149,174,11:08,7:23,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1:10:59,0:00,0,0:00,No,01:23.03,4,0,10,garmin,0,0 days 00:11:08,0 days 00:11:08
2020-12-14 19:37:32,Treadmill Running,2020-12-14 19:37:32,False,Treadmill Running,1.85,193,0:20:01,160,180,155,171,10:49,6:39,0,0,0.96,0,0,0,0,0,0,0,0,0,0,20:01,0:00,0,0:00,No,08:56.47,2,0,10,garmin,0,0 days 00:10:49,0 days 00:10:49
2020-12-13 17:41:29,Indoor Cycling,2020-12-13 17:41:29,False,Indoor Cycling,0,331,0:50:01,131,169,0,0,0,0,0,0,0.0,0,0,68,100,0,0,0,3417,0,0,2:2:01:00.000,0:00,0,0:00,No,50:01.18,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-13 17:25:24,Treadmill Running,2020-12-13 17:25:24,False,Treadmill Running,1.01,97,0:10:54,151,175,152,174,10:51,7:04,0,0,0.98,0,0,0,0,0,0,0,0,0,0,10:54,0:00,0,0:00,No,00:01.98,2,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51
2020-12-12 15:20:16,Running,2020-12-12 15:20:16,False,Longview Running,2,198,0:21:39,153,171,166,173,10:48,9:47,30,43,0.9,0,0,0,0,0,0,0,0,0,0,21:39,0:00,0,0:00,No,00:02.63,3,0,10,garmin,0,0 days 00:10:48,0 days 00:10:48
2020-12-11 21:04:56,Running,2020-12-11 21:04:56,False,Longview Running,1.5,149,0:16:07,153,168,168,176,10:42,4:23,56,56,0.9,0,0,0,0,0,0,0,0,0,0,16:07,0:00,0,0:00,No,05:15.46,2,0,10,garmin,0,0 days 00:10:42,0 days 00:10:42
