date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_score,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2020-04-25 09:09:38,Running,2020-04-25 09:09:38,False,Philadelphia Running,15.24,745,02:13:51,137,164,192,212,0 days 00:08:47,0 days 00:03:15,532,539,0.95,0.0,0.0,0.0,0.0,0.0,2:13:51,0:00,0.0,0:00,No,02:03.75,16,0.0,2,garmin,0
2020-04-23 07:43:31,Running,2020-04-23 07:43:31,False,Philadelphia Running,8.08,660,01:12:25,154,176,192,212,0 days 00:08:58,0 days 00:04:14,165,163,0.93,0.0,0.0,0.0,0.0,0.0,1:12:25,0:00,0.0,0:00,No,01:08.44,9,0.0,2,garmin,0
2020-04-22 07:48:12,Running,2020-04-22 07:48:12,False,Philadelphia Running,8.0,617,01:09:45,150,172,198,204,0 days 00:08:43,0 days 00:00:49,179,179,0.93,0.0,0.0,0.0,0.0,0.0,1:09:45,0:00,0.0,0:00,No,08:10.16,8,0.0,2,garmin,0
2020-04-21 07:54:16,Running,2020-04-21 07:54:16,False,Philadelphia Running,8.02,643,01:08:59,154,184,200,208,0 days 00:08:36,0 days 00:00:57,134,137,0.94,0.0,0.0,0.0,0.0,0.0,1:08:59,0:00,0.0,0:00,No,00:18.89,9,0.0,2,garmin,0
2020-04-19 13:44:36,Running,2020-04-19 13:44:36,False,Philadelphia Running,8.36,433,01:31:41,64,85,118,184,0 days 00:10:58,0 days 00:05:54,196,186,0.65,0.0,0.0,0.0,0.0,0.0,1:31:41,0:00,0.0,0:00,No,04:29.15,9,0.0,2,garmin,0
2020-04-18 12:36:02,Running,2020-04-18 12:36:02,False,Philadelphia Running,8.0,546,01:10:51,140,160,196,206,0 days 00:08:51,0 days 00:03:42,155,135,0.92,0.0,0.0,0.0,0.0,0.0,1:10:51,0:00,0.0,0:00,No,08:28.13,8,0.0,2,garmin,0
2020-04-17 13:20:41,Running,2020-04-17 13:20:41,False,Philadelphia Running,16.01,"1,173",02:20:15,155,197,196,236,0 days 00:08:46,0 days 00:00:38,"1,096","1,083",0.94,0.0,0.0,0.0,0.0,0.0,2:20:15,0:00,0.0,0:00,No,00:02.50,17,0.0,2,garmin,0
2020-04-16 15:38:48,Running,2020-04-16 15:38:48,False,Philadelphia Running,7.94,678,01:11:34,158,183,196,204,0 days 00:09:01,0 days 00:00:31,170,166,0.91,0.0,0.0,0.0,0.0,0.0,1:11:34,0:00,0.0,0:00,No,08:15.13,8,0.0,2,garmin,0
2020-04-15 10:11:39,Running,2020-04-15 10:11:39,False,Philadelphia Running,7.71,475,01:05:40,137,143,196,204,0 days 00:08:31,0 days 00:05:34,136,142,0.96,0.0,0.0,0.0,0.0,0.0,1:05:40,0:00,0.0,0:00,No,05:50.33,8,0.0,2,garmin,0
2020-04-14 12:28:40,Running,2020-04-14 12:28:40,False,Philadelphia Running,8.1,480,01:09:55,142,163,196,206,0 days 00:08:38,0 days 00:02:31,178,171,0.95,0.0,0.0,0.0,0.0,0.0,1:09:55,0:00,0.0,0:00,No,00:53.91,9,0.0,2,garmin,0
2020-04-13 17:48:40,Running,2020-04-13 17:48:40,False,Philadelphia Running,6.51,398,01:00:08,140,168,192,202,0 days 00:09:14,0 days 00:04:57,116,117,0.9,0.0,0.0,0.0,0.0,0.0,1:00:08,0:00,0.0,0:00,No,05:09.82,7,0.0,2,garmin,0
2020-04-12 08:03:39,Running,2020-04-12 08:03:39,False,Philadelphia Running,8.56,828,01:24:08,185,202,188,206,0 days 00:09:50,0 days 00:02:57,78,82,0.87,0.0,0.0,0.0,0.0,0.0,1:24:08,0:00,0.0,0:00,No,08:40.38,9,0.0,2,garmin,0
2020-04-11 18:24:11,Running,2020-04-11 18:24:11,False,Philadelphia Running,2.5,397,01:05:55,140,177,120,204,0 days 00:26:19,0 days 00:01:18,83,80,0.51,0.0,0.0,0.0,0.0,0.0,1:05:55,0:00,0.0,0:00,No,10:43.96,3,0.0,2,garmin,0
2020-04-10 09:18:34,Running,2020-04-10 09:18:34,False,Philadelphia Running,21.61,"1,457",03:35:07,165,206,188,198,0 days 00:09:57,0 days 00:06:42,"1,247","1,327",0.86,0.0,0.0,0.0,0.0,0.0,3:35:07,0:00,0.0,0:00,No,05:50.45,22,0.0,2,garmin,0
2020-04-10 07:40:43,Running,2020-04-10 07:40:43,False,Philadelphia Running,9.19,926,01:25:47,185,204,192,200,0 days 00:09:20,0 days 00:00:26,547,457,0.89,0.0,0.0,0.0,0.0,0.0,1:25:47,0:00,0.0,0:00,No,02:49.48,10,0.0,2,garmin,0
2020-04-08 07:54:44,Running,2020-04-08 07:54:44,False,Philadelphia Running,10.1,938,01:28:06,182,211,196,204,0 days 00:08:44,0 days 00:00:50,237,241,0.94,0.0,0.0,0.0,0.0,0.0,1:28:06,0:00,0.0,0:00,No,00:51.82,11,0.0,2,garmin,0
2020-04-07 08:25:13,Running,2020-04-07 08:25:13,False,Philadelphia Running,4.79,594,00:55:02,182,206,200,210,0 days 00:11:30,0 days 00:06:05,140,133,0.7,0.0,0.0,0.0,0.0,0.0,55:02,0:00,0.0,0:00,No,06:16.100,5,0.0,2,garmin,0
2020-04-06 18:34:40,Running,2020-04-06 18:34:40,False,Philadelphia Running,4.02,484,01:17:04,133,210,164,236,0 days 00:19:11,0 days 00:00:32,112,108,0.59,0.0,0.0,0.0,0.0,0.0,1:17:04,0:00,0.0,0:00,No,00:04.20,5,0.0,2,garmin,0
2020-04-06 07:52:01,Running,2020-04-06 07:52:01,False,Philadelphia Running,6.84,467,01:02:12,148,192,198,206,0 days 00:09:06,0 days 00:06:19,89,100,0.89,0.0,0.0,0.0,0.0,0.0,1:02:12,0:00,0.0,0:00,No,07:36.27,7,0.0,2,garmin,0
