date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-12-28 10:51:48,Cardio,2020-12-28 10:51:48,False,Cardio,0.00,546,00:47:18,136,151,2.7,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,47:18,0,0:00,82.4,0,0:00,No,0,0,0,0,47:17.84,1,0.0,16,16,16,0,0,0,8,garmin,0
2020-12-27 13:15:53,Running,2020-12-27 13:15:53,False,Denver Running,6.29,939,01:04:28,165,180,4.5,149,160,0 days 00:10:15,0 days 00:07:50,279,253,1.05,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:04:28,0,0:00,66.2,0,0:00,No,0,0,0,0,03:08.79,7,0.0,29,29,29,0,0,0,8,garmin,0
2020-12-26 11:02:03,Cardio,2020-12-26 11:02:03,False,Cardio,0.00,758,00:50:40,162,187,5.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:40,0,0:00,82.4,0,0:00,No,0,0,0,0,50:39.57,1,0.0,20,20,20,0,0,0,8,garmin,0
2020-12-24 14:22:18,Running,2020-12-24 14:22:18,False,Denver Running,2.96,426,00:28:45,159,172,3.5,146,163,0 days 00:09:42,0 days 00:08:38,30,23,1.14,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,28:45,0,0:00,68.0,0,0:00,No,0,0,0,0,09:23.77,3,0.0,16,16,16,0,0,0,8,garmin,0
2020-12-23 10:16:37,Resort Skiing/Snowboarding,2020-12-23 10:16:37,False,Summit County Resort Skiing/Snowboarding,6.71,349,00:40:39,120,157,2.2,0,0,9.9,27.7,0,"8,264",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:39,0,0:00,59.0,0,0:00,No,0,0,0,0,01:05.00,6,0.0,0,0,0,0,0,0,8,garmin,0
2020-12-22 10:15:17,Resort Skiing/Snowboarding,2020-12-22 10:15:17,False,Summit County Resort Skiing/Snowboarding,11.20,823,01:20:01,131,176,3.4,0,0,8.4,41.4,0,"11,624",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:20:01,0,0:00,64.4,0,0:00,No,0,0,0,0,03:28.00,7,0.0,0,0,0,0,0,0,8,garmin,0
2020-12-21 12:54:25,Resort Skiing/Snowboarding,2020-12-21 12:54:25,False,Summit County Resort Skiing/Snowboarding,10.53,503,00:46:42,136,166,3.0,0,0,13.5,40.5,0,"10,883",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,46:42,0,0:00,71.6,0,0:00,No,0,0,0,0,02:35.01,7,0.0,0,0,0,0,0,0,8,garmin,0
2020-12-17 10:21:33,Resort Skiing/Snowboarding,2020-12-17 10:21:33,False,Summit County Resort Skiing/Snowboarding,9.79,325,00:35:06,126,147,2.6,0,0,16.7,45.0,0,"10,577",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:06,0,0:00,68.0,0,0:00,No,0,0,0,0,02:52.00,6,0.0,0,33,33,0,0,0,8,garmin,0
2020-12-16 11:17:10,Resort Skiing/Snowboarding,2020-12-16 11:17:10,False,Summit County Resort Skiing/Snowboarding,5.52,188,00:25:42,113,128,2.3,0,0,12.9,33.7,0,"5,656",0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:42,0,0:00,55.4,0,0:00,No,0,0,0,0,01:05.00,7,0.0,0,0,0,0,0,0,8,garmin,0
2020-12-12 13:15:05,Cardio,2020-12-12 13:15:05,False,Cardio,0.00,899,01:02:55,161,189,5.0,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:02:55,0,0:00,82.4,0,0:00,No,0,0,0,0,01:02:55.46,1,0.0,37,19,49,0,0,0,8,garmin,0
