Kudos Date,Kudos Type,Parent ID
"Oct 6, 2017, 3:54:37 PM",Activity,1217681776
"Oct 6, 2017, 3:54:53 PM",Activity,1216666872
"Oct 14, 2017, 3:58:03 PM",Activity,1229199263
"Oct 26, 2017, 5:29:48 PM",Activity,1247241141
"Oct 26, 2017, 5:30:06 PM",Activity,1247751729
"Oct 30, 2017, 11:52:53 AM",Activity,1250361986
"Oct 30, 2017, 11:52:57 AM",Activity,1250395521
"Oct 31, 2017, 2:15:18 PM",Activity,1252957930
"Nov 3, 2017, 7:18:06 AM",Activity,1258826092
"Nov 3, 2017, 4:45:22 PM",Activity,1259082012
"Nov 6, 2017, 6:33:04 PM",Activity,1263850471
"Nov 10, 2017, 3:23:27 PM",Activity,1269049338
"Nov 13, 2017, 4:05:42 PM",Activity,1273657848
"Nov 15, 2017, 8:44:55 AM",Activity,1275930109
"Nov 15, 2017, 8:45:03 AM",Activity,1275986356
"Nov 16, 2017, 9:15:54 AM",Activity,1277344014
"Nov 18, 2017, 5:14:53 PM",Activity,1280002062
"Nov 19, 2017, 8:02:22 PM",Activity,1281890282
"Nov 19, 2017, 8:02:24 PM",Activity,1281902888
"Nov 19, 2017, 8:02:34 PM",Activity,1281678139
"Nov 27, 2017, 8:25:41 AM",Activity,1291954193
"Nov 28, 2017, 10:03:28 AM",Activity,1293570011
"Nov 29, 2017, 12:55:59 PM",Activity,1294992597
"Dec 3, 2017, 7:59:26 PM",Activity,1300383023
"Dec 4, 2017, 5:29:10 PM",Activity,1301899968
"Dec 9, 2017, 11:09:19 AM",Activity,1306861342
"Dec 9, 2017, 11:09:38 AM",Activity,1307104498
"Dec 11, 2017, 5:57:16 PM",Activity,1310488075
"Dec 12, 2017, 11:50:44 AM",Activity,1310708329
"Dec 18, 2017, 5:08:53 PM",Activity,1317842820
"Dec 23, 2017, 10:57:26 PM",Activity,1324005350
"Dec 23, 2017, 10:57:52 PM",Activity,1324558445
"Dec 24, 2017, 9:57:49 AM",Activity,1325095275
"Dec 27, 2017, 4:44:09 PM",Activity,1329276882
"Jan 4, 2018, 2:11:46 PM",Activity,1339986723
"Jan 4, 2018, 2:12:17 PM",Activity,1339030839
"Jan 5, 2018, 1:24:42 PM",Activity,1341781730
"Jan 21, 2018, 8:45:49 PM",Activity,1368200563
"Feb 11, 2018, 8:54:13 PM",Activity,1400195481
"Feb 14, 2018, 4:43:33 PM",Activity,1406780577
"Feb 19, 2018, 9:00:14 AM",Activity,1414296716
"Feb 22, 2018, 7:42:27 PM",Activity,1420614022
"Mar 4, 2018, 2:17:16 PM",Activity,1435813006
"Mar 4, 2018, 4:33:38 PM",Activity,1436034043
"Mar 12, 2018, 11:23:28 AM",Activity,1447147562
"Apr 2, 2018, 9:47:36 AM",Activity,1484951228
"Apr 9, 2018, 7:39:03 AM",Activity,1494651015
"Apr 10, 2018, 8:52:47 AM",Activity,1499835457
"Apr 13, 2018, 11:56:19 AM",Activity,1505727406
"Apr 13, 2018, 11:57:55 AM",Activity,1504844067
"Apr 15, 2018, 8:14:09 AM",Activity,1507414141
"Apr 15, 2018, 1:56:03 PM",Activity,1509868898
"Apr 16, 2018, 5:15:14 PM",Activity,1512107300
"Apr 22, 2018, 8:17:14 AM",Activity,1522451251
"Apr 22, 2018, 8:17:20 AM",Activity,1522456795
"Apr 22, 2018, 8:18:03 AM",Activity,1522949092
"Apr 22, 2018, 8:18:37 AM",Activity,1521811957
"Apr 29, 2018, 5:11:36 PM",Activity,1538760137
"Apr 29, 2018, 8:40:35 PM",Activity,1538455758
"May 7, 2018, 7:55:00 AM",Activity,1554663307
"May 7, 2018, 7:55:01 AM",Activity,1554431687
"May 7, 2018, 8:42:13 AM",Activity,1553265346
"May 15, 2018, 6:11:50 PM",Activity,1573846802
"Jun 7, 2018, 6:30:46 AM",Activity,1620737625
"Jun 8, 2018, 6:16:13 PM",Activity,1624497582
"Jun 10, 2018, 3:59:20 PM",Activity,1629660088
"Jun 16, 2018, 3:26:02 PM",Activity,1641680333
"Jun 16, 2018, 8:31:25 PM",Activity,1642376161
"Jun 17, 2018, 6:13:27 AM",Activity,1643401342
"Jun 17, 2018, 12:36:42 PM",Activity,1643451881
"Jun 19, 2018, 10:58:12 AM",Activity,1646267107
"Jun 26, 2018, 10:06:02 AM",Activity,1661285035
"Jun 28, 2018, 5:51:39 PM",Activity,1667899361
"Jul 8, 2018, 10:35:04 AM",Activity,1688262047
"Jul 10, 2018, 8:37:34 PM",Activity,1693487152
"Jul 16, 2018, 7:04:13 PM",Activity,1706342910
"Jul 30, 2018, 7:33:05 AM",Activity,1709269765
"Sep 4, 2018, 4:27:33 AM",Activity,1811600691
"Sep 6, 2018, 6:32:14 AM",Activity,1818944450
"Sep 6, 2018, 8:17:52 AM",Activity,1821333075
"Sep 6, 2018, 8:17:54 AM",Activity,1821334769
"Sep 10, 2018, 8:16:47 PM",Activity,1832481403
"Sep 10, 2018, 8:16:51 PM",Activity,1832666049
"Sep 10, 2018, 8:17:12 PM",Activity,1832854716
"Sep 16, 2018, 5:04:09 PM",Activity,1845544083
"Sep 19, 2018, 3:58:39 PM",Activity,1852225238
"Oct 1, 2018, 8:09:08 PM",Activity,1877209570
"Oct 1, 2018, 8:10:28 PM",Activity,1875298338
"Oct 6, 2018, 7:18:33 PM",Activity,1887290772
"Oct 11, 2018, 3:57:21 PM",Activity,1898195667
"Oct 13, 2018, 2:46:55 PM",Activity,1901888673
"Oct 13, 2018, 4:28:53 PM",Activity,1901592540
"Oct 25, 2018, 5:30:38 PM",Activity,1926895597
"Oct 25, 2018, 5:31:14 PM",Activity,1926657274
"Nov 1, 2018, 8:29:02 AM",Activity,1938070222
"Nov 19, 2018, 6:25:29 PM",Activity,1973881939
"Nov 25, 2018, 9:53:28 PM",Activity,1981624143
"Nov 25, 2018, 9:53:41 PM",Activity,1984845280
"Nov 25, 2018, 9:53:58 PM",Activity,1984892773
"Dec 21, 2018, 7:15:33 AM",Activity,2026975163
"Dec 26, 2018, 12:02:17 PM",Activity,2034430006
"Jan 5, 2019, 7:35:48 PM",Activity,2057459747
"Jan 5, 2019, 7:36:19 PM",Activity,2056858848
"Jan 8, 2019, 6:24:35 PM",Activity,2064624377
"Jan 9, 2019, 6:52:23 AM",Activity,2065853824
