Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-21 09:28:09,false,"Morton Running","2.60","269","00:24:24","134","152","2.0","167","178","9:24","8:06","35","28","1.03","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:24","0:00","0.0","0:00","No","05:22.32","3","0.0"
Running,2020-11-20 08:24:47,false,"Morton Running","2.55","293","00:23:19","143","170","2.5","167","179","9:08","7:45","34","17","1.06","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","23:19","0:00","0.0","0:00","No","04:35.15","3","0.0"
Running,2020-11-19 08:39:15,false,"Morton Running","5.42","651","00:43:21","163","177","4.0","171","179","8:00","7:32","39","36","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","43:21","0:00","0.0","0:00","No","03:24.25","6","0.0"
Running,2020-11-17 16:20:01,false,"Morton Running","3.03","296","00:20:25","166","182","3.3","169","177","6:45","6:02","24","21","1.41","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","20:25","0:00","0.0","0:00","No","00:09.92","4","0.0"
Running,2020-11-15 15:05:22,false,"Morton Running","4.01","440","00:33:39","152","166","3.2","168","177","8:23","7:55","47","40","1.14","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","33:39","0:00","0.0","0:00","No","00:06.49","5","0.0"
Running,2020-11-13 12:11:24,false,"Morton Running","8.03","877","01:03:03","163","175","5.0","168","175","7:51","7:30","58","53","1.22","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:03:03","0:00","0.0","0:00","No","00:10.91","9","0.0"
Running,2020-11-11 13:35:32,false,"La Salle County Running","1.87","188","01:44:16","--","--","--","114","236","55:46","8:14","147","148","0.25","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:44:16","0:00","0.0","0:00","No","34:15.41","2","0.0"
Running,2020-11-09 15:41:59,false,"Morton Running","4.04","554","00:39:23","158","174","4.0","166","183","9:45","6:34","135","150","0.99","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","39:23","0:00","0.0","0:00","No","00:18.69","5","0.0"
Running,2020-11-08 11:48:27,false,"Morton Running","4.14","432","00:38:32","139","157","2.8","167","197","9:18","5:40","119","116","1.04","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","38:32","0:00","0.0","0:00","No","01:21.43","5","0.0"
Running,2020-11-07 10:28:07,false,"Morton Running","1.66","167","01:23:10","--","--","--","119","228","50:03","7:20","18","38","0.27","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:23:10","0:00","0.0","0:00","No","31:47.42","2","0.0"
Running,2020-11-06 06:25:23,false,"Morton Running","7.16","810","00:58:03","161","180","4.7","168","177","8:06","7:35","52","49","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","58:03","0:00","0.0","0:00","No","01:17.43","8","0.0"
Running,2020-11-03 15:09:49,false,"Morton Running","4.01","587","00:41:25","156","174","3.8","168","201","10:20","7:50","103","128","0.93","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","41:25","0:00","0.0","0:00","No","00:03.99","5","0.0"
Running,2020-11-02 06:35:05,false,"Morton Running","3.05","356","00:25:23","151","169","3.2","171","177","8:19","7:46","43","34","1.13","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","25:23","0:00","0.0","0:00","No","00:28.92","4","0.0"
Running,2020-11-01 07:26:02,false,"Morton Running","1.36","171","00:12:40","149","167","2.5","170","189","9:20","7:46","16","7","1.01","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","12:40","0:00","0.0","0:00","No","02:58.09","2","0.0"
Running,2020-10-31 15:05:27,false,"Morton Running","3.36","420","00:27:15","162","176","3.7","169","182","8:06","7:33","26","12","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","27:15","0:00","0.0","0:00","No","02:53.58","4","0.0"
Running,2020-10-30 06:36:09,false,"Morton Running","2.82","362","00:22:22","165","181","3.5","173","187","7:56","7:12","23","13","1.17","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","22:22","0:00","0.0","0:00","No","06:28.06","3","0.0"
Running,2020-10-28 06:35:55,false,"Morton Running","3.13","421","00:25:03","162","174","3.6","172","185","8:00","7:16","23","18","1.17","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","25:03","0:00","0.0","0:00","No","01:01.54","4","0.0"
Running,2020-10-23 06:36:24,false,"Morton Running","2.54","339","00:20:59","--","--","--","172","182","8:15","7:33","32","24","1.14","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","20:59","0:00","0.0","0:00","No","04:24.80","3","0.0"
Running,2020-10-22 06:20:29,false,"Morton Running","3.95","534","00:31:30","--","--","--","171","179","7:59","7:21","22","20","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","31:30","0:00","0.0","0:00","No","07:21.33","4","0.0"
Running,2020-10-20 06:23:34,false,"Morton Running","3.09","412","00:25:58","--","--","--","170","182","8:24","7:30","23","13","1.11","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","25:58","0:00","0.0","0:00","No","00:43.42","4","0.0"
Cycling,2020-10-11 15:46:49,false,"Tazewell County Cycling","6.01","497","00:52:56","--","--","--","--","--","6.8","16.8","344","331","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","52:56","0:00","0.0","0:00","No","08:07.21","2","0.0"
Cycling,2020-10-11 13:08:39,false,"Morton Cycling","3.15","178","00:29:14","--","--","--","--","--","6.5","14.8","17","24","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","29:14","0:00","0.0","0:00","No","29:14.05","1","0.0"
Cycling,2020-10-09 08:50:56,false,"Chicago Cycling","6.68","117","00:53:38","--","--","--","--","--","7.5","21.7","386","381","0.00","0.0","0.0","54","114","108","50% L / 50% R","26.0","46","36","811","0.0","0.0","1593","--","--","53:38","0:00","0.0","0:00","No","14:52.55","2","0.0"
Cycling,2020-10-09 08:07:21,false,"Chicago Cycling","3.57","133","00:37:31","--","--","--","--","--","5.7","16.2","12","20","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","37:31","0:00","0.0","0:00","No","37:31.29","1","0.0"
Cycling,2020-10-09 06:04:52,false,"Chicago Cycling","22.49","1,309","01:41:33","--","--","--","--","--","13.3","22.4","44","44","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:41:33","0:00","0.0","0:00","No","12:46.51","5","0.0"
Cycling,2020-10-08 16:38:52,false,"Chicago Cycling","3.52","222","00:28:14","--","--","--","--","--","7.5","16.2","--","5","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","28:14","0:00","0.0","0:00","No","28:14.49","1","0.0"
Running,2020-10-08 07:09:12,false,"Chicago Running","3.36","431","00:27:20","--","--","--","170","181","8:07","7:05","7","12","1.17","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","27:20","0:00","0.0","0:00","No","03:13.62","4","0.0"
Running,2020-10-06 06:24:45,false,"Morton Running","3.74","494","00:30:17","--","--","--","170","195","8:05","4:27","21","26","1.17","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","30:17","0:00","0.0","0:00","No","06:06.20","4","0.0"
Running,2020-10-05 06:53:25,false,"Morton Running","2.41","321","00:19:18","--","--","--","170","176","8:00","7:06","20","15","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","19:18","0:00","0.0","0:00","No","03:01.39","3","0.0"
Running,2020-10-04 15:33:06,false,"Peoria Running","2.06","269","00:19:22","--","--","--","168","190","9:24","5:24","--","3","1.02","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","19:22","0:00","0.0","0:00","No","00:49.50","3","0.0"
Running,2020-10-04 10:50:49,false,"Morton Running","1.57","161","01:16:49","--","--","--","114","159","48:46","16:37","22","26","0.29","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:16:49","0:00","0.0","0:00","No","28:09.16","2","0.0"
Cycling,2020-10-03 13:17:51,false,"Morton Cycling","26.83","1,531","01:47:05","--","--","--","--","--","15.0","26.3","400","383","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:47:05","0:00","0.0","0:00","No","05:59.40","6","0.0"
Running,2020-10-01 06:27:25,false,"Morton Running","2.95","392","00:24:17","--","--","--","169","184","8:14","4:57","24","20","1.16","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:17","0:00","0.0","0:00","No","07:41.45","3","0.0"
Running,2020-09-29 06:33:14,false,"Morton Running","2.60","345","00:21:18","--","--","--","171","177","8:12","7:46","25","14","1.15","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","21:18","0:00","0.0","0:00","No","04:44.42","3","0.0"
