,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
26,87,2018-03-15,Running,False,Lafayette Running,8.09,898,01:00:48,148,164,2.7,180,188,0 days 00:07:31,0 days 00:07:03,253,279,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:48,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,31.27317676143387,0.8,11.707317073170731,7.982261640798226,11.707522425545802,14.634403031932251
27,89,2018-03-16,Running,False,Boulder County Running,4.05,360,00:35:02,124,137,1.6,169,176,0 days 00:08:39,0 days 00:07:13,95,108,1.09,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:02,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,23.45679012345679,0.6702702702702703,10.173410404624278,6.936416184971098,10.173510797696633,15.178221754628039
28,91,2018-03-17,Running,False,Lafayette Running,5.42,699,00:41:25,156,171,3.1,172,184,0 days 00:07:38,0 days 00:06:54,151,131,1.21,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,41:25,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,27.85977859778598,0.8432432432432433,11.528384279475981,7.860262008733624,11.52854476021016,13.671671670762048
29,92,2018-03-18,Running,False,Denver Running,12.01,"1,193",01:30:51,144,162,2.6,176,248,0 days 00:07:34,0 days 00:06:40,384,361,1.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:30:51,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,31.973355537052456,0.7783783783783784,11.629955947136564,7.929515418502203,11.630169179284438,14.941536792830702
30,96,2018-03-20,Running,False,Lafayette Running,7.47,745,00:55:05,143,166,2.4,178,199,0 days 00:07:23,0 days 00:05:16,190,161,1.23,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:05,0:00,0.0,0:00,No,00:00.00,12,0.0,0,0,0,3,garmin,0,25.435073627844712,0.772972972972973,11.918735891647854,8.126410835214447,11.91887418325836,15.419522544774802
31,100,2018-03-22,Running,False,Lafayette Running,4.31,405,00:35:18,130,155,1.7,174,186,0 days 00:08:11,0 days 00:06:57,148,151,1.13,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:18,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,34.338747099767986,0.7027027027027027,10.753564154786151,7.3319755600814664,10.753791569671563,15.303472618378763
32,104,2018-03-24,Running,False,Boulder Running,14.01,"1,622",01:46:49,155,169,3.2,176,186,0 days 00:07:37,0 days 00:06:29,377,318,1.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:46:49,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,26.90935046395432,0.8378378378378378,11.553610503282275,7.87746170678337,11.5537605489607,13.789972268114383
33,106,2018-03-25,Running,False,Lafayette Running,3.71,461,00:30:04,147,176,2.5,172,182,0 days 00:08:06,0 days 00:07:39,105,95,1.15,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,30:04,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,28.30188679245283,0.7945945945945946,10.864197530864196,7.407407407407407,10.864353603754086,13.672825963908204
34,111,2018-03-29,Running,False,Lafayette Running,7.33,675,00:57:09,138,158,2.5,179,193,0 days 00:07:48,0 days 00:06:11,115,118,1.16,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,57:09,0:00,0.0,0:00,No,00:00.00,4,0.0,0,0,0,3,garmin,0,15.688949522510232,0.745945945945946,11.282051282051281,7.6923076923076925,11.282101087516555,15.124555805728715
35,114,2018-03-31,Running,False,Lafayette Running,3.61,358,00:31:34,130,143,1.6,177,189,0 days 00:08:45,0 days 00:07:41,115,95,1.04,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,31:34,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,31.855955678670362,0.7027027027027027,10.057142857142855,6.857142857142857,10.057325900555089,14.31234839694378
